0.14862174,-0.199666423,-0.639240877,-0.573762581,0.130294677,0.755346596,0.387039288,0.756856479,0.108163104,-0.473071937,0.579420888,-1,0.293195751,-1,1,0.203282707,0.240778646,0.73652367,1,-0.98534551,-0.596597879,0.670963632,-0.500194202,-0.996423844,-0.870030919,0.034099129,-0.581675003,-1,1,-0.183009431
0.062711439,-0.177627107,-0.608960235,-0.473191574,0.121127573,0.686805237,0.352451612,0.777216288,0.109813336,-0.47033384,0.567886026,-1,0.259672309,-1,1,0.209636154,0.195677416,0.709300094,1,-0.970456419,-0.56020416,0.695095383,-0.508852276,-1,-0.898007503,0.20186412,-0.59537164,-1,1,-0.231781181
0.014172736,-0.160307194,-0.578398392,-0.410103532,0.116848935,0.616446,0.315453661,0.788817557,0.120737241,-0.463494292,0.554507609,-0.99897802,0.216494402,-1,1,0.217779436,0.157153647,0.682338853,1,-0.950741479,-0.524577141,0.717226684,-0.516431826,-1,-0.922192921,0.346296283,-0.601206736,-1,1,-0.274736838
-0.026740807,-0.149116048,-0.545416921,-0.403783966,0.118326295,0.545304392,0.276399065,0.797315775,0.135046781,-0.456274713,0.54142671,-0.993482402,0.170188524,-1,1,0.228114051,0.126761824,0.656469517,1,-0.927361437,-0.489648177,0.738215742,-0.520243336,-0.998852393,-0.940218682,0.488061283,-0.598742098,-1,1,-0.310480938
-0.031441688,-0.142026275,-0.511882904,-0.345990234,0.124761564,0.473154936,0.235195876,0.805686487,0.149775805,-0.447223937,0.528963192,-0.982254723,0.123180108,-1,1,0.238658626,0.103474882,0.633066498,1,-0.902121157,-0.455259387,0.759964921,-0.520728241,-0.99354497,-0.951440252,0.627508441,-0.588315982,-1,1,-0.33854045
-0.105809492,-0.137257399,-0.503719422,-0.207160203,0.111364828,0.40505372,0.194341977,0.806483123,0.166539937,-0.374276138,0.518812745,-0.966805272,0.075749494,-1,1,0.241921351,0.087228143,0.642819433,1,-0.851287892,-0.4194088,0.781720494,-0.52044263,-0.982931796,-0.956743553,0.796118772,-0.572369385,-1,1,-0.345419601
-0.153159705,-0.136136665,-0.375538378,-0.190797994,0.108498917,0.323761647,0.151781398,0.818630211,0.183443802,-0.323269053,0.513262606,-0.95014235,0.03047958,-0.988294702,1,0.254636329,0.122725397,0.64066308,1,-0.816386531,-0.382914054,0.826376279,-0.519898152,-0.944515503,-0.955967745,0.925855401,-0.54808503,-0.988842016,1,-0.36245319
-0.192065356,-0.129294569,-0.318277956,-0.040032567,0.14054474,0.255888728,0.106257828,0.830555085,0.189300789,-0.314856007,0.517417853,-0.862132835,0.014823287,-0.994310893,1,0.235800701,0.128123279,0.625491206,0.997580573,-0.78712633,-0.346869361,0.861794184,-0.518888227,-0.915184414,-0.920545265,0.992155112,-0.520319563,-0.986838241,1,-0.361065202
-0.228203671,-0.126639405,-0.295010522,-0.022078862,0.171384424,0.22257958,0.059331959,0.831676352,0.205243255,-0.299800035,0.521309367,-0.823334925,-0.015063116,-0.948209566,0.993867152,0.243422548,0.115819585,0.625360572,1,-0.753370125,-0.291575951,0.874785677,-0.518107362,-0.894259998,-0.895726973,0.985640356,-0.492309508,-1,0.996891879,-0.366446349
-0.262504254,-0.126320404,-0.271168509,0.052934137,0.224420328,0.213179006,0.01216119,0.863688467,0.231958998,-0.277435164,0.48903312,-0.766249146,-0.048441662,-0.989866542,0.992269437,0.232162788,0.108843003,0.642170606,0.976310028,-0.71654103,-0.25346288,0.909541492,-0.514638262,-0.87443699,-0.891960331,1,-0.461045959,-1,0.995824353,-0.372032706
