-0.487578562,0.418465069,-0.143281487,-0.915658052,-0.46871868,-1,0.169388846,-0.567319085,0.700533204,-0.407347352,-0.15016752,-0.031503948,0.566839261,0.527473762,-0.611186703,0.815655914,-0.144973083,-0.399740889,-0.141590243,1,0.747823594,-0.423508693,-1,-0.144637799,-0.133377799,1,-0.533468341,0.00607002,-0.411973197,-1,-0.57047328
-0.469035497,0.502748372,-0.159545763,-0.896607043,-0.439024061,-1,0.13650958,-0.54423535,0.704380887,-0.403675601,-0.157255801,-0.032633902,0.571316796,0.492419165,-0.60661408,0.864403398,-0.144049062,-0.400915504,-0.181964227,1,0.693972868,-0.420648577,-0.999207398,-0.128945585,-0.149972427,1,-0.540072803,0.004298776,-0.412049952,-1,-0.553012833
-0.448095421,0.578154011,-0.181214634,-0.861987704,-0.413259464,-1,0.102937326,-0.516893755,0.708572826,-0.407093064,-0.182565797,-0.03463532,0.58856801,0.456880054,-0.586583707,0.916030486,-0.146943526,-0.400825811,-0.222268535,1,0.644194317,-0.420463008,-1,-0.11115698,-0.160623321,1,-0.567265573,-0.014420043,-0.407737753,-1,-0.529345252
-0.423354973,0.645907096,-0.205690036,-0.844239752,-0.387728499,-1,0.076779787,-0.487765244,0.712184886,-0.413682466,-0.202165026,-0.037028264,0.599080395,0.417476856,-0.565806504,0.972142526,-0.154227558,-0.399687592,-0.258038195,1,0.600146985,-0.423277603,-1,-0.090324272,-0.16892525,1,-0.60940818,-0.030549346,-0.400743901,-1,-0.497000302
-0.393092458,0.702743643,-0.232085215,-0.827401007,-0.360142051,-0.999531207,0.057267806,-0.459515766,0.71348672,-0.42466933,-0.21884775,-0.041293965,0.605608704,0.372781308,-0.537730409,0.997602143,-0.164952033,-0.393025222,-0.288835441,0.999271251,0.560302228,-0.42652888,-1,-0.060929126,-0.178767096,1,-0.615234713,-0.044480921,-0.38854134,-1,-0.415121305
-0.358137428,0.75480078,-0.260365906,-0.825717197,-0.32966723,-1,0.043550416,-0.43074865,0.713152825,-0.438535315,-0.221499844,-0.042161335,0.613890334,0.323465239,-0.497604578,1,-0.177021841,-0.387112529,-0.310020201,1,0.525260698,-0.439308658,-1,-0.022520872,-0.190859467,1,-0.62800783,-0.059410617,-0.372222125,-1,-0.409786276
-0.319046125,0.801519329,-0.290851746,-0.790703814,-0.297783332,-1,0.036310256,-0.403069503,0.711518847,-0.451539875,-0.229587413,-0.037161021,0.616035625,0.269473956,-0.448668462,1,-0.188107575,-0.380887621,-0.322160008,1,0.488176931,-0.455916054,-1,0.024081369,-0.202642649,1,-0.638710032,-0.078677987,-0.360621295,-1,-0.384634827
-0.281016229,0.843553696,-0.323782993,-0.767901567,-0.265205303,-1,0.036817478,-0.377237872,0.708554924,-0.461118056,-0.229685105,-0.026639717,0.64725184,0.213771746,-0.391298626,1,-0.198802712,-0.36853212,-0.330139951,1,0.456018698,-0.471113528,-1,0.077824239,-0.210568732,1,-0.639784467,-0.105046557,-0.348198502,-1,-0.349473231
-0.246424352,0.875846214,-0.323286913,-0.765829837,-0.234033428,-1,0.042155339,-0.331177327,0.704651706,-0.466745136,-0.220165522,-0.01137926,0.683501882,0.158238142,-0.326415084,1,-0.20815645,-0.350490487,-0.338187343,1,0.430662436,-0.483358618,-1,0.134256814,-0.215907113,1,-0.625382117,-0.129503592,-0.331179524,-1,-0.307938248
-0.189448552,0.899616763,-0.360808953,-0.691988243,-0.204219023,-0.997436772,0.035211231,-0.289883322,0.688269115,-0.468068687,-0.204825532,0.008327172,0.722200498,0.104101493,-0.255810264,1,-0.21689778,-0.33357927,-0.347987929,1,0.41342834,-0.491538887,-1,0.242625406,-0.218542883,1,-0.623828156,-0.149951534,-0.316964636,-1,-0.264423807
