-1,0.003158997,-0.201949794,-0.330288103,-0.986549318,-1,-0.077994035,-0.948500189,0.484680772,0.999999676,-0.698227004,1,-0.414527413,-0.306475791,-0.539789984,0.720863913,-0.078393639,-0.951092532,0.061161745,0.335143333,0.938972906,0.262244738,0.604221645,0.593122734,0.677876651,-0.283799055,-0.379545055,-0.713958466
-1,0.009822386,-0.200121047,-0.345792396,-0.981433469,-1,-0.078921516,-0.924679458,0.466840141,0.999999741,-0.682257774,1,-0.407913755,-0.321504305,-0.568271285,0.719016073,-0.085080337,-0.951939336,0.07953449,0.340948486,0.938024167,0.245019422,0.608480463,0.66334791,0.62952755,-0.302845468,-0.379594873,-0.744483925
-1,0.033488737,-0.195421203,-0.364352889,-0.968048596,-1,-0.078466986,-0.899006886,0.463447042,0.999999741,-0.641882037,1,-0.396182534,-0.342036383,-0.594606892,0.71858636,-0.144001418,-0.950244779,0.099397167,0.352418252,0.939582554,0.242558546,0.6178642,0.725053601,0.570130786,-0.320623728,-0.376084317,-0.77360104
-1,0.05505985,-0.188307037,-0.383188672,-0.947553879,-1,-0.074395055,-0.873752258,0.439114809,0.999999805,-0.607725338,1,-0.379966135,-0.367542307,-0.615501558,0.720294299,-0.175435735,-0.944865669,0.118645043,0.370248106,0.944027664,0.209485481,0.633393454,0.779689572,0.512775321,-0.336134641,-0.361115325,-0.802028015
-1,0.075681759,-0.179300127,-0.401312532,-0.919378465,-1,-0.065911667,-0.84996576,0.421111829,0.999999805,-0.571540828,1,-0.357596669,-0.398193975,-0.641847075,0.726782593,-0.199861198,-0.93638201,0.136123087,0.392178006,0.951589227,0.184934314,0.653397617,0.826038856,0.453274347,-0.347489755,-0.35959523,-0.827679379
-1,0.099562456,-0.167948332,-0.417446793,-0.880024636,-1,-0.054899286,-0.829545161,0.403976549,0.99999987,-0.53180957,1,-0.312395215,-0.432519577,-0.650872391,0.741278502,-0.219207636,-0.927974092,0.159163923,0.419048652,0.961125123,0.182528272,0.67776305,0.865888913,0.393018735,-0.353698151,-0.347779667,-0.852442899
-1,0.106450166,-0.153171336,-0.399231169,-0.835164916,-1,-0.040302822,-0.813742667,0.428354709,0.99999987,-0.489650047,1.00024294,-0.304083066,-0.434909602,-0.651436178,0.754683933,-0.220879263,-0.918337639,0.175862481,0.448962532,0.969758545,0.170539655,0.701142329,0.939426546,0.333879811,-0.336910521,-0.320381174,-0.857973489
-1,0.146421715,-0.134796867,-0.40250098,-0.784119979,-0.998547548,-0.028503404,-0.792676639,0.414478645,0.99999987,-0.443649674,0.999975482,-0.231840725,-0.460681016,-0.606380711,0.767420596,-0.218046198,-0.908602665,0.180807789,0.467187145,0.973729286,0.135690156,0.722928999,0.948981391,0.275028743,-0.326839624,-0.298852325,-0.893358755
-0.994077519,0.17527306,-0.096313583,-0.413263758,-0.68774892,-0.99781203,-0.017079332,-0.751038721,0.410047374,0.999999935,-0.402930663,1,-0.172016863,-0.501634893,-0.603105181,0.798414253,-0.217841423,-0.853886334,0.18379824,0.524793772,0.974181898,0.130084786,0.776813997,1.016711782,0.216758988,-0.325671329,-0.276342227,-0.885568441
-0.97637325,0.201710394,-0.071314262,-0.426009762,-0.590990324,-1,0.020230028,-0.716424914,0.383320484,0.999999935,-0.367758295,1,-0.110434732,-0.547082739,-0.621242703,0.818816424,-0.233991622,-0.82976683,0.182316644,0.571682206,0.974151758,0.055045856,0.801218412,1,0.157942071,-0.345383077,-0.296442587,-0.880511765
