csp_avg,csn_avg,delta_sei,cf
-0.02350706448297809,0.004433945899647582,0.004811217940331561,0.005482932647115651
-0.0010870184481057627,0.002038380118500962,-0.0050793335467213575,-0.005784940533406542
-0.0019189127659635361,0.0020192625831681613,0.0028530788760054208,0.003241169908693794
-0.002164059539861032,0.010950498967213477,-0.008142583229097458,-0.009242538939312709
-0.0002396605795496124,0.00025948397246389876,-0.005649925920714531,-0.006390390938599517
-0.0009809467550386992,0.0005184663137232677,0.0035499822736107223,0.0040051265975348865
-0.0002686300250854919,0.000393547033247239,-0.00280623582218091,-0.003163064805771275
-0.0007792414489234307,0.0009511654217395121,-0.008571786006826095,-0.00964406838673424
-0.002311265211602088,0.0006874036574539229,-0.0010752915290789802,-0.001205860129821257
-0.00195603094708241,0.0004301221145439611,-0.0002609819921054063,-0.0002921738372408572
0.0024547526888727207,-0.0004845495836556651,0.0012793287793123344,0.0014301116643920255
-0.01966789992810753,0.006312198168433574,0.002792384347943991,0.0031180284183572886
-0.0012381589954669975,0.006077015404980079,-0.0036321145227544696,-0.0040542292005228174
-0.0007220324291208821,0.00206788691905667,-0.0100850629769512,-0.011238352105935535
0.000615606419861093,-0.00030782464343355687,0.0016651134649478384,0.0018493212112238627
-4.815395858759337e-5,2.1573475020360508e-5,-0.003256735632870273,-0.0036135819959634413
0.000558405909611156,-0.0002679018987259744,0.0017919627407910477,0.0019851083065957342
0.0005692122321436143,-0.000438491669906528,-0.0016514531401735349,-0.0018278352272299413
9.363412773771483e-5,-0.00010173666620244349,0.0026347077163622595,0.0029123306644863
0.0005915696929516982,-0.0008415947542042313,0.0005174058992155179,0.0005715221577835978
-0.001475050823882126,0.003175855806013849,-0.004976484239970111,-0.0054923260109160325
-0.0025267466861871074,0.002457939561397515,0.0023704801202484704,0.002611896075746312
0.0010813518975821231,-0.005527497748804254,-0.005219820596743677,-0.005748812576349554
-0.03184216909890919,0.005431236787290087,0.0029435658472706234,0.0032261901033231763
-0.00024173586772580248,0.0005677969226195419,-0.0025750509181787454,-0.0028215576773096473
0.00022707005772648037,-0.00043021992856373287,-0.0010806476778937883,-0.0011828202481280988
-0.0015450627968508525,0.0028796582559250834,-0.004868069234577018,-0.005323679299219089
-0.004338770111842186,0.00347003653377274,0.002522964130795494,0.0027551976725847436
-0.0007590355979192462,0.0032704132871156874,-0.0021388745441502047,-0.0023348952083697455
-0.0012027950969943438,0.004337800381633597,-0.004695820174590841,-0.005121596384568902
0.0006127178808541528,-0.0007921946182352534,-0.006549621014197934,-0.007133695661014135
0.0023739127712745834,-0.0003715654396259863,0.0009516121692395008,0.0010340658053629174
-0.0021772144614060017,0.0005695919510735136,0.0027815990084516973,0.003020769401421817
