cf_avg,cf_std,cumulative_profit,num_soc_violate,num_swap
1.8999776809069583e-5,2.637736822004811e-5,-1.5148241813640637,0,2
2.8402622086492233e-5,5.1935923326957646e-5,-3.7898118450022773,0,1
3.817510562379215e-5,7.85906866603009e-5,-6.688621472978751,0,0
4.819180737524263e-5,0.00010705689485508108,-9.876564775657624,0,0
5.878924433388357e-5,0.00013762479408207671,-13.559101826912558,0,1
6.761957907727977e-5,0.00016139067089144502,-14.716853133323271,0,1
7.694461829895163e-5,0.00018425385265772416,-17.288299790373937,1,3
8.642875565803687e-5,0.00020475867062227896,-20.177002759595748,1,6
0.00010146301468591468,0.00022317152444704136,-33.408150552771545,0,7
0.00011098010692501166,0.0002325709479939503,-38.121848483708916,0,10
0.0001252077843426981,0.00023660302014960006,-61.62847624773262,4,11
0.00014126807398795655,0.0002380425473342842,-92.33255265359237,7,9
0.00015747217052662784,0.00024053407705103776,-123.68421742551736,7,10
0.0001700408816769062,0.00024353562641329536,-141.43936073049716,3,10
0.00018044021963008132,0.00024311224336429082,-153.71358079001922,4,8
0.00020134460918745642,0.00024215984994436246,-187.370222419705,10,10
0.00021774647586862036,0.00023996378023484884,-209.52156305324968,5,9
0.0002321433148808563,0.00023833884299867563,-227.00772236018,4,9
0.00024429912386639106,0.00023628043655940157,-238.584921833497,2,7
0.00025689626872810433,0.00023273091356297392,-251.92781588686236,3,8
0.0002705858802360555,0.00022699549436347503,-269.8205733862775,6,9
0.00027893788657005846,0.00022411366660105787,-275.87389335594065,2,7
0.0002918805066507775,0.00021772030286553945,-287.7642932434495,5,5
0.0003029245718396572,0.00021284728477207628,-293.44298960369014,1,2
0.00031364913846425687,0.0002101460032436534,-298.4879020543986,0,1
0.0003245767699082362,0.00021093201967051586,-303.9432950833346,0,1
0.0003358985175761317,0.00021572838627343573,-310.04771605855484,0,0
0.0003477540913329776,0.00022594965532326522,-316.83590439872694,0,0
0.00036061611028131535,0.00024219957767275793,-324.08642252921294,0,0
0.00036977669798399937,0.0002566023190964852,-325.9432270639677,0,1
0.0003783056046717467,0.00026970973167845825,-326.35820544255336,0,1
0.00038680336319426857,0.00028216304820257853,-326.65911214840423,0,4
0.0003998904940915658,0.0002894086188431215,-336.059243796351,0,7
0.00041169446346408936,0.00028839093304384945,-348.9706265231857,4,8
0.00042369967595440317,0.0002837100642012711,-363.39961911431095,2,8
0.00043692182280957774,0.0002767752677339631,-382.89825632355297,3,7
0.0004492525207546172,0.0002717710683646362,-399.2813283923479,2,9
0.0004627202140815006,0.0002728886596656381,-420.2471198039874,4,9
0.00047316963103026494,0.0002790654390537995,-432.17091907459894,3,9
0.0004925354482775373,0.0003007213240596534,-461.9005672656582,9,9
0.0005087131897369489,0.0003099057442308535,-483.19686786891975,3,8
0.0005228819934803181,0.0003146668561564199,-499.986944256115,2,10
0.000536599652304923,0.00031604311477098184,-515.7189315897186,4,9
0.0005513124056624985,0.00031515579822650466,-534.5758378321538,6,9
0.0005616686394580082,0.0003149358054949131,-542.7365709606098,1,7
0.0005699869758526582,0.0003124636176577203,-548.7945535376454,2,6
0.0005842337286035424,0.0003102130265533953,-562.7146098627438,5,5
0.0005952813340077107,0.00030684209110336475,-568.180101360749,0,2
0.0006055602072326887,0.00030492206421573744,-572.5972858993579,0,1
0.0006161529117525938,0.000305037541251091,-577.5995446192892,0,0
0.0006271424116889367,0.00030848123649237624,-583.279572661388,0,0
0.0006385796471318051,0.00031552836009129617,-589.5420400791218,0,0
0.000651495764777216,0.0003274276136157691,-596.970212728497,0,0
0.000660147106241747,0.0003376830080210621,-597.5976828387401,0,2
0.0006691213275823482,0.00034701721590611116,-599.0843867334398,0,5
0.0006807281026142459,0.000352611127196852,-607.6537557456611,2,8
0.0006973367125053853,0.0003531234664830148,-626.8346217051355,4,9
0.0007104874251163965,0.0003517787643096786,-645.5080536675028,5,9
0.0007204796339429737,0.0003511877899551473,-652.2117063787774,0,8
0.0007342416690880681,0.00034395334316949594,-674.989530043974,6,9
0.0007475069504709163,0.0003371416943274241,-697.8220778472082,6,7
0.000757806523816925,0.0003408350957118402,-710.9631221127063,2,8
0.0007682206138547308,0.0003484894726270975,-726.8165703225601,5,8
0.0007872408065081514,0.000349568779874561,-755.852067882412,8,8
0.0008022018430029618,0.0003505826864002608,-773.8247529835495,1,8
0.0008157655109561746,0.0003440711429814181,-788.9258350215416,2,8
0.0008301291926582333,0.00033926414255072647,-806.3380093250707,4,8
0.0008417178211961668,0.00033984810375477356,-816.6644101627711,1,8
0.0008514270059184411,0.00033746880875092756,-823.659432796523,2,5
0.0008591360929652942,0.000338555628836024,-828.8444262563552,2,6
0.0008669663340257057,0.0003424374228132112,-835.5769326362969,4,4
0.0008731618683003723,0.00034206223647087263,-837.9775791434768,1,1
0.0008805619296011562,0.00034469030740248864,-840.0517954039017,1,1
0.0008905598415898967,0.0003486766912818022,-843.7683881967995,0,0
0.0009028910036190137,0.0003568698813180808,-850.470462054625,0,0
0.0009157773852057093,0.00036903196898957816,-858.0729040848679,0,0
0.000931127499673136,0.0003878286795904629,-867.5638543476757,0,1
0.000940888835370264,0.00040002179886693926,-870.631185714816,0,2
0.0009502312736601845,0.00041089155735701664,-872.919003558844,0,6
0.0009611638923004185,0.00041756347652448065,-879.2267740041665,1,8
0.000979450731904586,0.0004220388934743693,-900.5521781106864,3,8
0.000992523678085711,0.0004209391260554259,-918.0458594095815,5,9
0.0010040222624874192,0.00042331517738977936,-930.6613003395253,2,9
0.0010191725951382714,0.0004187137540531627,-957.1788945301922,6,9
0.0010323343956099465,0.00041871557945379506,-975.4292665335257,3,9
0.0010460195757160241,0.00042017433639988683,-996.3891437186728,4,8
0.0010575003999396828,0.000419806828399692,-1011.2803684950738,4,10
0.001076591848711993,0.00041739662761158347,-1039.5437223784502,8,8
0.0010919389747776865,0.0004176128312994497,-1058.2785868914486,2,8
0.0011051004080548964,0.0004151395367398132,-1072.0148604252804,1,7
0.0011183496484914721,0.00040990633904469404,-1086.0437296498067,2,8
0.0011305356436728574,0.00040579840486302415,-1097.4532027530838,1,8
0.0011407749784418321,0.00040520080421386183,-1104.8484809779923,1,6
0.0011497388051732698,0.00040787557248909,-1112.3558059299442,3,7
0.0011609550021839297,0.000403784703479569,-1121.9076726218689,5,5
0.001172627099358105,0.0004034135189685851,-1128.6282626895386,2,2
0.0011840445427592533,0.00040811468380534097,-1134.8888759138867,1,1
0.0011949751992385885,0.00041166423218989606,-1140.2367994814063,0,0
0.0012062143768334875,0.00041785999308321855,-1146.0692341079261,0,0
0.0012176143659350979,0.000426653619081598,-1151.9464112824162,0,0
0.0012300388316875853,0.0004389257100648818,-1158.3689361957531,0,0
0.0012388781210432276,0.00044942565152333196,-1159.4021778341717,0,3
0.0012475162866617555,0.00045686459001131825,-1160.0628336118975,0,7
0.0012590793099035206,0.0004563443380996291,-1168.7922989562417,1,8
0.0012780690820746144,0.00044837439251936675,-1194.092115513539,4,7
0.0012898586761505046,0.0004480720409873265,-1207.4212500597234,4,8
0.0013018360519790164,0.0004462730751814903,-1222.096718439065,3,9
