cf_avg,cf_std,cumulative_profit,num_soc_violate,num_swap
1.6619824742783773e-5,2.314757568984831e-5,4.612391438146671,0,2
2.3575372618944537e-5,4.9677456139269326e-5,7.016772899274349,0,1
3.0977508268130835e-5,6.469853490237417e-5,7.927474980193468,0,0
3.944134089940659e-5,8.98677108860266e-5,6.001709904372021,0,0
5.307270356407392e-5,0.00015453877961431648,-3.4247259962182364,0,1
5.867980858802414e-5,0.0001680567014403325,6.109664462531517,0,1
6.588852347866819e-5,0.00017786897601319726,8.584000200266463,0,3
7.651504286527757e-5,0.00020240281149742442,0.18930389528222236,0,6
0.00010034212493962494,0.00024141419944411825,-31.74130019670073,0,7
0.00010815306469143746,0.0002549125455741666,-25.22001001904837,0,10
0.00012171736749713017,0.00026986709315651123,-43.860275596945286,0,11
0.00013521896543611936,0.0002911273074401779,-63.651993115134744,0,9
0.00015099766112846804,0.0002911273074401779,-88.42672524139171,0,10
0.00016524301833173834,0.0002911273074401779,-114.20245526324688,0,10
0.00017818158286434066,0.0002911273074401779,-133.82568039385055,0,8
0.00019358824358427435,0.0002911273074401779,-152.3624315279238,0,10
0.00020914869535385377,0.0002911273074401779,-169.36154585384358,0,9
0.0002229209791307485,0.0002911273074401779,-184.15563619158814,0,9
0.00023569304135752662,0.0002911273074401779,-196.50114826198813,0,7
0.0002491777520781915,0.0002911273074401779,-211.0721419768577,0,8
0.0002639100763849513,0.0002911273074401779,-227.44345198493548,0,9
0.0002766776672712938,0.0002911273074401779,-239.16192992621532,0,7
0.0002880806593557502,0.0002911273074401779,-245.8139517559435,0,5
0.0002960969818472688,0.0002911273074401779,-248.5509432615606,0,2
0.0003030536795748401,0.0002911273074401779,-250.1909608865416,0,1
0.00031048954526959326,0.0002911273074401779,-252.31643298354814,0,1
0.00031826174489649515,0.0002911273074401779,-254.3978657957734,0,0
0.0003282554570114193,0.0002911273074401779,-258.829773197016,0,0
0.0003416796291077402,0.0002911273074401779,-268.166341891965,0,0
0.00034760165469815773,0.0002911273074401779,-260.4666021880584,0,1
0.0003546012589823501,0.0002911273074401779,-257.69950888075067,0,1
0.00036503968241491857,0.0002911273074401779,-265.81860120068046,0,4
0.0003913379617950652,0.00032436051099395265,-301.2594979818921,0,7
0.0003992498738879114,0.00032840027404135006,-295.09819637443906,0,8
0.0004090039306437444,0.0003311398832345556,-301.1384585914031,0,8
0.0004186396563294365,0.0003642042245075217,-310.15972484072057,0,7
0.0004327791895840894,0.00035064608094831265,-333.1760629759754,0,9
0.00044726763527529976,0.0003383105706413728,-356.75425752640405,0,9
0.00046083619708862087,0.00032221965534399055,-379.5545100112213,0,9
0.00047452730465752824,0.0002953431803366146,-395.80034013732075,0,9
0.00048819297096599503,0.0002921753103405532,-410.43886233864964,0,8
0.0005027578781197493,0.0002921753103405532,-428.2188108434914,0,10
0.0005186267423379693,0.0002921753103405532,-445.046352922107,0,9
0.0005335679399460269,0.0002921753103405532,-461.0666634879833,0,9
0.0005460807739552969,0.0002921753103405532,-472.94066840865946,0,7
