x1,x2,x3,x4,u,x_next1,x_next2,x_next3,x_next4
4834.144373693283,15707.15519115538,1.0e-10,0.0,-9.712764007100558,8414.361778656552,5511.87818565045,1.048772609399152e-10,3.448348049056542e-5
8414.361778656552,5511.87818565045,1.048772609399152e-10,3.448348049056542e-5,9.861444678430356,4852.849307094308,15653.165687291206,1.3019430835119116e-10,0.00021348147162548062
4852.849307094308,15653.165687291206,1.3019430835119116e-10,0.00021348147162548062,10.56956964274595,1122.5320625601014,26275.062785384027,1.5905895997305871e-10,0.0004175619305822751
1122.5320625601014,26275.062785384027,1.5905895997305871e-10,0.0004175619305822751,-1.2569425097935656,1565.8768855225585,25012.34096818345,1.6891948954225435e-10,0.0004872783930014403
1565.8768855225585,25012.34096818345,1.6891948954225435e-10,0.0004872783930014403,1.2475095404000123,1127.8751507575269,26259.294086668448,1.82123098976075e-10,0.0005806312838813426
1127.8751507575269,26259.294086668448,1.82123098976075e-10,0.0005806312838813426,-2.7405148281429534,2100.127669447563,23490.46874743798,1.9058101705764414e-10,0.0006404309248580403
2100.127669447563,23490.46874743798,1.9058101705764414e-10,0.0006404309248580403,-4.2553433607854245,3625.1217830657793,19147.65213397192,1.983636914737331e-10,0.0006954564206635433
3625.1217830657793,19147.65213397192,1.983636914737331e-10,0.0006954564206635433,-1.9714227538255003,4333.566199253923,17130.02832409122,2.0799723005069143e-10,0.0007635679987944184
4333.566199253923,17130.02832409122,2.0799723005069143e-10,0.0007635679987944184,7.680482117697143,1613.851385188214,24874.256465596132,2.3019372622727222e-10,0.0009205028957157823
1613.851385188214,24874.256465596132,2.3019372622727222e-10,0.0009205028957157823,-2.54436905283194,2521.0230863429424,22290.748362345996,2.3903979674089864e-10,0.0009830468735207074
2521.0230863429424,22290.748362345996,2.3903979674089864e-10,0.0009830468735207074,-1.3785328700159272,3013.4983883044915,20888.116855066968,2.4906344392854345e-10,0.0010539166191623108
3013.4983883044915,20888.116855066968,2.4906344392854345e-10,0.0010539166191623108,-1.5750233798790838,3577.248681086817,19282.52287387861,2.589689551318074e-10,0.0011239511132225832
3577.248681086817,19282.52287387861,2.589689551318074e-10,0.0011239511132225832,-2.6212758945284005,4520.531122727895,16596.17737840472,2.681111779478267e-10,0.0011885889634422864
4520.531122727895,16596.17737840472,2.681111779478267e-10,0.0011885889634422864,-9.227101847870316,7910.887081894398,6941.5490763463795,2.7331327891144116e-10,0.0012253691458640817
7910.887081894398,6941.5490763463795,2.7331327891144116e-10,0.0012253691458640817,-1.4633154211869577,8451.01713288421,5403.228413020314,2.8274207904357765e-10,0.001292033170900166
8451.01713288421,5403.228413020314,2.8274207904357765e-10,0.001292033170900166,12.67101518538179,3897.306691038458,18369.79604106794,3.138775191039416e-10,0.0015121686840731804
3897.306691038458,18369.79604106794,3.138775191039416e-10,0.0015121686840731804,2.8401783629308626,2885.3849745308826,21251.036516106677,3.2826796974825027e-10,0.0016139128454286764
2885.3849745308826,21251.036516106677,3.2826796974825027e-10,0.0016139128454286764,-9.079163546199881,6187.049557168535,11848.963891090456,3.336858422967473e-10,0.001652218588063344
6187.049557168535,11848.963891090456,3.336858422967473e-10,0.001652218588063344,-1.3608548287020776,6684.753844930466,10431.44399787388,3.4363164999900396e-10,0.0017225379886631727
6684.753844930466,10431.44399787388,3.4363164999900396e-10,0.0017225379886631727,15.775453618790213,1106.2107530623548,26316.11526070662,3.850946541013931e-10,0.0020156920172581826
1106.2107530623548,26316.11526070662,3.850946541013931e-10,0.0020156920172581826,0.10971257801440627,1067.8594060232879,26425.048101922708,3.966732546314449e-10,0.002097555680163433
